movieId,title,rating_count
356,Forrest Gump (1994),81491
318,"Shawshank Redemption, The (1994)",81482
296,Pulp Fiction (1994),79672
593,"Silence of the Lambs, The (1991)",74127
2571,"Matrix, The (1999)",72674
260,Star Wars: Episode IV - A New Hope (1977),68717
480,Jurassic Park (1993),64144
527,Schindler's List (1993),60411
110,Braveheart (1995),59184
2959,Fight Club (1999),58773
589,Terminator 2: Judgment Day (1991),57379
1196,Star Wars: Episode V - The Empire Strikes Back (1980),57361
1,Toy Story (1995),57309
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",55736
50,"Usual Suspects, The (1995)",55366
1210,Star Wars: Episode VI - Return of the Jedi (1983),54917
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),54675
2858,American Beauty (1999),53689
858,"Godfather, The (1972)",52498
5952,"Lord of the Rings: The Two Towers, The (2002)",51138
7153,"Lord of the Rings: The Return of the King, The (2003)",50797
47,Seven (a.k.a. Se7en) (1995),50596
457,"Fugitive, The (1993)",49638
1270,Back to the Future (1985),49595
780,Independence Day (a.k.a. ID4) (1996),48902
150,Apollo 13 (1995),48377
608,Fargo (1996),47823
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),47054
2028,Saving Private Ryan (1998),46783
2762,"Sixth Sense, The (1999)",46713
3578,Gladiator (2000),44656
592,Batman (1989),44110
588,Aladdin (1992),43373
364,"Lion King, The (1994)",42745
4306,Shrek (2001),42303
380,True Lies (1994),41673
590,Dances with Wolves (1990),41615
58559,"Dark Knight, The (2008)",41519
377,Speed (1994),41302
4226,Memento (2000),41195
1580,Men in Black (a.k.a. MIB) (1997),40308
1704,Good Will Hunting (1997),38947
79132,Inception (2010),38895
1240,"Terminator, The (1984)",38612
1291,Indiana Jones and the Last Crusade (1989),37908
1197,"Princess Bride, The (1987)",37863
1136,Monty Python and the Holy Grail (1975),37723
1721,Titanic (1997),37712
1265,Groundhog Day (1993),37616
344,Ace Ventura: Pet Detective (1994),37453
