userId,num_ratings,segment
2262,62,Active
6015,103,Active
3672,54,Active
5075,24,Passive
6554,35,Passive
5845,65,Active
4599,61,Active
1077,20,Passive
3275,129,Active
173,21,Passive
4395,27,Passive
2607,41,Passive
1169,27,Passive
851,65,Active
532,51,Active
6206,33,Passive
1408,42,Passive
3227,48,Passive
1425,69,Active
2545,83,Active
1929,28,Passive
79,22,Passive
106,36,Passive
2921,32,Passive
6728,112,Active
4954,23,Passive
882,54,Active
5673,44,Passive
1502,32,Passive
811,22,Passive
4428,27,Passive
4686,23,Passive
539,36,Passive
4718,41,Passive
1299,33,Passive
1575,51,Active
6192,68,Active
2073,43,Passive
553,22,Passive
1179,45,Passive
6555,156,Active
3982,38,Passive
3910,91,Active
911,88,Active
2770,54,Active
1180,43,Passive
4323,32,Passive
673,29,Passive
5266,54,Active
6738,27,Passive
4446,81,Active
2149,22,Passive
4004,90,Active
1271,60,Active
5,101,Active
1739,23,Passive
6225,34,Passive
6483,42,Passive
5733,20,Passive
1624,143,Active
4036,55,Active
4081,52,Active
5277,22,Passive
3111,27,Passive
6213,46,Passive
3502,30,Passive
6260,29,Passive
4733,28,Passive
6055,34,Passive
3434,45,Passive
3293,35,Passive
663,95,Active
6011,188,Active
3439,23,Passive
1092,82,Active
1597,59,Active
3776,57,Active
5496,66,Active
3486,28,Passive
5366,111,Active
1233,43,Passive
724,25,Passive
1903,31,Passive
344,32,Passive
5394,171,Active
4090,78,Active
2159,23,Passive
6126,30,Passive
2380,51,Active
4227,50,Passive
3024,136,Active
4026,89,Active
2603,20,Passive
5607,31,Passive
6020,110,Active
6101,41,Passive
984,155,Active
77,45,Passive
5975,264,Engaged
4038,116,Active
4076,58,Active
4286,144,Active
2874,53,Active
5296,35,Passive
796,24,Passive
2753,22,Passive
4427,33,Passive
6008,38,Passive
4803,78,Active
3429,40,Passive
3356,31,Passive
1872,54,Active
2888,45,Passive
3756,38,Passive
4054,33,Passive
5782,53,Active
1297,136,Active
6442,20,Passive
1213,33,Passive
6377,38,Passive
3362,41,Passive
1245,37,Passive
3199,28,Passive
2007,46,Passive
1421,39,Passive
3169,48,Passive
3463,56,Active
1766,27,Passive
4547,86,Active
2677,91,Active
677,101,Active
4753,89,Active
4064,45,Passive
1240,35,Passive
2555,36,Passive
3559,31,Passive
6719,48,Passive
3415,25,Passive
3363,45,Passive
6677,233,Engaged
6637,78,Active
2523,127,Active
3768,309,Engaged
3036,61,Active
5108,97,Active
4414,30,Passive
4052,76,Active
6116,128,Active
5272,26,Passive
103,32,Passive
5158,29,Passive
4603,36,Passive
688,35,Passive
3338,24,Passive
3337,231,Engaged
4033,21,Passive
4089,79,Active
22,22,Passive
1558,98,Active
205,26,Passive
4525,29,Passive
5647,40,Passive
2895,36,Passive
5168,48,Passive
5189,80,Active
580,71,Active
3418,66,Active
199,85,Active
6094,63,Active
1999,26,Passive
1723,32,Passive
915,42,Passive
4238,128,Active
4968,39,Passive
5331,31,Passive
6049,25,Passive
2954,80,Active
2275,41,Passive
1050,35,Passive
940,24,Passive
2260,46,Passive
5802,230,Engaged
664,27,Passive
2627,146,Active
4211,29,Passive
124,56,Active
6469,39,Passive
4080,37,Passive
341,41,Passive
6551,60,Active
4847,25,Passive
1633,34,Passive
1260,223,Engaged
631,43,Passive
1718,51,Active
907,60,Active
4972,63,Active
4248,87,Active
3494,104,Active
2454,44,Passive
2263,80,Active
2853,46,Passive
4622,21,Passive
3236,139,Active
1549,86,Active
5920,24,Passive
3203,22,Passive
4834,22,Passive
4484,24,Passive
4312,35,Passive
3641,100,Active
1129,37,Passive
6072,45,Passive
3640,55,Active
6099,69,Active
5187,83,Active
4435,22,Passive
4269,64,Active
3406,24,Passive
2632,64,Active
638,28,Passive
3508,29,Passive
2213,357,Engaged
2091,114,Active
5753,48,Passive
4533,48,Passive
6301,140,Active
2540,41,Passive
6710,32,Passive
4858,62,Active
1732,121,Active
6571,36,Passive
3124,59,Active
5312,51,Active
4029,128,Active
4123,29,Passive
5931,46,Passive
5423,100,Active
1325,51,Active
625,51,Active
6382,68,Active
5350,53,Active
3830,46,Passive
5233,73,Active
2761,33,Passive
6090,161,Active
636,84,Active
2886,27,Passive
854,100,Active
1498,259,Engaged
6645,22,Passive
5578,81,Active
4020,84,Active
5077,47,Passive
36,108,Active
4574,106,Active
4993,70,Active
4328,98,Active
229,92,Active
666,60,Active
4963,28,Passive
2466,53,Active
3891,36,Passive
6297,64,Active
2668,31,Passive
1422,37,Passive
4755,92,Active
6424,49,Passive
3370,46,Passive
654,38,Passive
